Vaccine,Geography Type,Geography,Season,Personnel Type,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States,Alabama,2013-14,All Health Care Personnel,72.2,,"117,874"
Seasonal Influenza,States,Alaska,2013-14,All Health Care Personnel,72.8,,"13,796"
Seasonal Influenza,States,Arizona,2013-14,All Health Care Personnel,76.8,,"134,171"
Seasonal Influenza,States,Arkansas,2013-14,All Health Care Personnel,82.4,,"78,401"
Seasonal Influenza,States,California,2013-14,All Health Care Personnel,79.3,,"826,671"
Seasonal Influenza,States,Colorado,2013-14,All Health Care Personnel,94.9,,"122,917"
Seasonal Influenza,States,Connecticut,2013-14,All Health Care Personnel,85.6,,"104,689"
Seasonal Influenza,States,Delaware,2013-14,All Health Care Personnel,92.1,,"28,643"
Seasonal Influenza,States,District of Columbia,2013-14,All Health Care Personnel,95.5,,"34,917"
Seasonal Influenza,States,Florida,2013-14,All Health Care Personnel,64.4,,"454,912"
Seasonal Influenza,States,Georgia,2013-14,All Health Care Personnel,86.2,,"203,113"
Seasonal Influenza,States,Hawaii,2013-14,All Health Care Personnel,66.6,,"25,963"
Seasonal Influenza,States,Idaho,2013-14,All Health Care Personnel,78.8,,"30,910"
Seasonal Influenza,States,Illinois,2013-14,All Health Care Personnel,83.3,,"348,153"
Seasonal Influenza,States,Indiana,2013-14,All Health Care Personnel,87.5,,"193,924"
Seasonal Influenza,States,Iowa,2013-14,All Health Care Personnel,91.2,,"97,212"
Seasonal Influenza,States,Kansas,2013-14,All Health Care Personnel,88.7,,"73,957"
Seasonal Influenza,States,Kentucky,2013-14,All Health Care Personnel,75.2,,"115,348"
Seasonal Influenza,States,Louisiana,2013-14,All Health Care Personnel,71.2,,"133,614"
Seasonal Influenza,States,Maine,2013-14,All Health Care Personnel,85.8,,"39,038"
Seasonal Influenza,States,Maryland,2013-14,All Health Care Personnel,96.4,,"132,775"
Seasonal Influenza,States,Massachusetts,2013-14,All Health Care Personnel,86.1,,"243,507"
Seasonal Influenza,States,Michigan,2013-14,All Health Care Personnel,81.5,,"280,625"
Seasonal Influenza,States,Minnesota,2013-14,All Health Care Personnel,75.3,,"142,962"
Seasonal Influenza,States,Mississippi,2013-14,All Health Care Personnel,73.6,,"73,547"
Seasonal Influenza,States,Missouri,2013-14,All Health Care Personnel,88.4,,"182,619"
Seasonal Influenza,States,Montana,2013-14,All Health Care Personnel,83.8,,"23,312"
Seasonal Influenza,States,Nebraska,2013-14,All Health Care Personnel,91.5,,"53,557"
Seasonal Influenza,States,Nevada,2013-14,All Health Care Personnel,75.8,,"46,605"
Seasonal Influenza,States,New Hampshire,2013-14,All Health Care Personnel,93.1,,"36,091"
Seasonal Influenza,States,New Jersey,2013-14,All Health Care Personnel,62.4,,"213,566"
Seasonal Influenza,States,New Mexico,2013-14,All Health Care Personnel,76.4,,"44,245"
Seasonal Influenza,States,New York,2013-14,All Health Care Personnel,83.3,,"572,906"
Seasonal Influenza,States,North Carolina,2013-14,All Health Care Personnel,92.4,,"235,656"
Seasonal Influenza,States,North Dakota,2013-14,All Health Care Personnel,90.2,,"21,168"
Seasonal Influenza,States,Ohio,2013-14,All Health Care Personnel,82,,"366,299"
Seasonal Influenza,States,Oklahoma,2013-14,All Health Care Personnel,83.6,,"92,599"
Seasonal Influenza,States,Oregon,2013-14,All Health Care Personnel,76.7,,"90,987"
Seasonal Influenza,States,Pennsylvania,2013-14,All Health Care Personnel,82.1,,"439,021"
Seasonal Influenza,National,United States,2013-14,All Health Care Personnel,81.8,,"8,006,643"
Seasonal Influenza,States,Rhode Island,2013-14,All Health Care Personnel,90.4,,"34,125"
Seasonal Influenza,States,South Carolina,2013-14,All Health Care Personnel,82.1,,"121,741"
Seasonal Influenza,States,South Dakota,2013-14,All Health Care Personnel,93.5,,"28,451"
Seasonal Influenza,States,Tennessee,2013-14,All Health Care Personnel,81.9,,"173,582"
Seasonal Influenza,States,Texas,2013-14,All Health Care Personnel,83.4,,"526,240"
Seasonal Influenza,States,Utah,2013-14,All Health Care Personnel,94,,"59,018"
Seasonal Influenza,States,Vermont,2013-14,All Health Care Personnel,74.7,,"16,956"
Seasonal Influenza,States,Virginia,2013-14,All Health Care Personnel,85.5,,"162,762"
Seasonal Influenza,States,Washington,2013-14,All Health Care Personnel,87.6,,"152,747"
Seasonal Influenza,States,West Virginia,2013-14,All Health Care Personnel,77.6,,"61,370"
Seasonal Influenza,States,Wisconsin,2013-14,All Health Care Personnel,90.7,,"187,004"
Seasonal Influenza,States,Wyoming,2013-14,All Health Care Personnel,82.5,,"12,377"
Seasonal Influenza,States,Alabama,2014-15,All Health Care Personnel,77.6,,"116,878"
Seasonal Influenza,States,Alaska,2014-15,All Health Care Personnel,70.6,,"16,304"
Seasonal Influenza,States,Arizona,2014-15,All Health Care Personnel,82.8,,"141,623"
Seasonal Influenza,States,Arkansas,2014-15,All Health Care Personnel,83.6,,"78,402"
Seasonal Influenza,States,California,2014-15,All Health Care Personnel,82.1,,"808,945"
Seasonal Influenza,States,Colorado,2014-15,All Health Care Personnel,97.1,,"144,521"
Seasonal Influenza,States,Connecticut,2014-15,All Health Care Personnel,86.1,,"102,524"
Seasonal Influenza,States,Delaware,2014-15,All Health Care Personnel,90.1,,"29,559"
Seasonal Influenza,States,District of Columbia,2014-15,All Health Care Personnel,94,,"33,769"
Seasonal Influenza,States,Florida,2014-15,All Health Care Personnel,71.4,,"490,726"
Seasonal Influenza,States,Georgia,2014-15,All Health Care Personnel,86.3,,"223,653"
Seasonal Influenza,States,Hawaii,2014-15,All Health Care Personnel,73.9,,"27,902"
Seasonal Influenza,States,Idaho,2014-15,All Health Care Personnel,86.9,,"32,788"
Seasonal Influenza,States,Illinois,2014-15,All Health Care Personnel,84.1,,"346,741"
Seasonal Influenza,States,Indiana,2014-15,All Health Care Personnel,87.4,,"189,520"
Seasonal Influenza,States,Iowa,2014-15,All Health Care Personnel,92.2,,"99,855"
Seasonal Influenza,States,Kansas,2014-15,All Health Care Personnel,93.1,,"73,422"
Seasonal Influenza,States,Kentucky,2014-15,All Health Care Personnel,78.9,,"112,751"
Seasonal Influenza,States,Louisiana,2014-15,All Health Care Personnel,77.7,,"134,265"
Seasonal Influenza,States,Maine,2014-15,All Health Care Personnel,85.3,,"40,853"
Seasonal Influenza,States,Maryland,2014-15,All Health Care Personnel,96.9,,"154,962"
Seasonal Influenza,States,Massachusetts,2014-15,All Health Care Personnel,89.1,,"249,525"
Seasonal Influenza,States,Michigan,2014-15,All Health Care Personnel,83.6,,"286,149"
Seasonal Influenza,States,Minnesota,2014-15,All Health Care Personnel,78,,"139,564"
Seasonal Influenza,States,Mississippi,2014-15,All Health Care Personnel,82.2,,"74,255"
Seasonal Influenza,States,Missouri,2014-15,All Health Care Personnel,91.6,,"188,272"
Seasonal Influenza,States,Montana,2014-15,All Health Care Personnel,84.2,,"23,724"
Seasonal Influenza,States,Nebraska,2014-15,All Health Care Personnel,91.5,,"53,712"
Seasonal Influenza,States,Nevada,2014-15,All Health Care Personnel,71.5,,"54,373"
Seasonal Influenza,States,New Hampshire,2014-15,All Health Care Personnel,94.1,,"41,487"
Seasonal Influenza,States,New Jersey,2014-15,All Health Care Personnel,68.7,,"207,639"
Seasonal Influenza,States,New Mexico,2014-15,All Health Care Personnel,81.5,,"44,938"
Seasonal Influenza,States,New York,2014-15,All Health Care Personnel,83.9,,"554,651"
Seasonal Influenza,States,North Carolina,2014-15,All Health Care Personnel,94.3,,"236,108"
Seasonal Influenza,States,North Dakota,2014-15,All Health Care Personnel,89.6,,"23,851"
Seasonal Influenza,States,Ohio,2014-15,All Health Care Personnel,85,,"360,577"
Seasonal Influenza,States,Oklahoma,2014-15,All Health Care Personnel,88.4,,"95,254"
Seasonal Influenza,States,Oregon,2014-15,All Health Care Personnel,78.9,,"90,082"
Seasonal Influenza,States,Pennsylvania,2014-15,All Health Care Personnel,87,,"402,309"
Seasonal Influenza,National,United States,2014-15,All Health Care Personnel,84.5,,"8,078,194"
Seasonal Influenza,States,Rhode Island,2014-15,All Health Care Personnel,91.8,,"34,102"
Seasonal Influenza,States,South Carolina,2014-15,All Health Care Personnel,84.4,,"119,171"
Seasonal Influenza,States,South Dakota,2014-15,All Health Care Personnel,94.3,,"27,426"
Seasonal Influenza,States,Tennessee,2014-15,All Health Care Personnel,84.8,,"175,518"
Seasonal Influenza,States,Texas,2014-15,All Health Care Personnel,85.7,,"518,343"
Seasonal Influenza,States,Utah,2014-15,All Health Care Personnel,94.2,,"66,808"
Seasonal Influenza,States,Vermont,2014-15,All Health Care Personnel,74.9,,"17,154"
Seasonal Influenza,States,Virginia,2014-15,All Health Care Personnel,87.3,,"165,630"
Seasonal Influenza,States,Washington,2014-15,All Health Care Personnel,87.1,,"162,789"
Seasonal Influenza,States,West Virginia,2014-15,All Health Care Personnel,80.4,,"61,634"
Seasonal Influenza,States,Wisconsin,2014-15,All Health Care Personnel,93.8,,"190,231"
Seasonal Influenza,States,Wyoming,2014-15,All Health Care Personnel,85,,"12,955"
Seasonal Influenza,States,Alabama,2015-16,All Health Care Personnel,77.4,,"114,751"
Seasonal Influenza,States,Alaska,2015-16,All Health Care Personnel,62.5,,"16,541"
Seasonal Influenza,States,Arizona,2015-16,All Health Care Personnel,86.9,,"141,354"
Seasonal Influenza,States,Arkansas,2015-16,All Health Care Personnel,85.2,,"80,017"
Seasonal Influenza,States,California,2015-16,All Health Care Personnel,82.6,,"839,081"
Seasonal Influenza,States,Colorado,2015-16,All Health Care Personnel,97.3,,"133,037"
Seasonal Influenza,States,Connecticut,2015-16,All Health Care Personnel,88,,"94,549"
Seasonal Influenza,States,Delaware,2015-16,All Health Care Personnel,92,,"31,587"
Seasonal Influenza,States,District of Columbia,2015-16,All Health Care Personnel,95.5,,"33,140"
Seasonal Influenza,States,Florida,2015-16,All Health Care Personnel,77.1,,"483,356"
Seasonal Influenza,States,Georgia,2015-16,All Health Care Personnel,88.1,,"215,133"
Seasonal Influenza,States,Hawaii,2015-16,All Health Care Personnel,77.4,,"27,780"
Seasonal Influenza,States,Idaho,2015-16,All Health Care Personnel,89.8,,"40,685"
Seasonal Influenza,States,Illinois,2015-16,All Health Care Personnel,86.6,,"353,759"
Seasonal Influenza,States,Indiana,2015-16,All Health Care Personnel,89.3,,"198,893"
Seasonal Influenza,States,Iowa,2015-16,All Health Care Personnel,91.8,,"109,314"
Seasonal Influenza,States,Kansas,2015-16,All Health Care Personnel,94.6,,"77,599"
Seasonal Influenza,States,Kentucky,2015-16,All Health Care Personnel,84.8,,"124,051"
Seasonal Influenza,States,Louisiana,2015-16,All Health Care Personnel,82.5,,"132,394"
Seasonal Influenza,States,Maine,2015-16,All Health Care Personnel,84.3,,"44,054"
Seasonal Influenza,States,Maryland,2015-16,All Health Care Personnel,96.4,,"135,703"
Seasonal Influenza,States,Massachusetts,2015-16,All Health Care Personnel,90.7,,"255,534"
Seasonal Influenza,States,Michigan,2015-16,All Health Care Personnel,88.4,,"294,968"
Seasonal Influenza,States,Minnesota,2015-16,All Health Care Personnel,79.4,,"163,335"
Seasonal Influenza,States,Mississippi,2015-16,All Health Care Personnel,81.1,,"82,503"
Seasonal Influenza,States,Missouri,2015-16,All Health Care Personnel,91.3,,"201,749"
Seasonal Influenza,States,Montana,2015-16,All Health Care Personnel,83.2,,"29,362"
Seasonal Influenza,States,Nebraska,2015-16,All Health Care Personnel,93,,"57,913"
Seasonal Influenza,States,Nevada,2015-16,All Health Care Personnel,77.5,,"50,806"
Seasonal Influenza,States,New Hampshire,2015-16,All Health Care Personnel,93.8,,"43,777"
Seasonal Influenza,States,New Jersey,2015-16,All Health Care Personnel,81.3,,"209,737"
Seasonal Influenza,States,New Mexico,2015-16,All Health Care Personnel,84.5,,"46,017"
Seasonal Influenza,States,New York,2015-16,All Health Care Personnel,83.3,,"587,234"
Seasonal Influenza,States,North Carolina,2015-16,All Health Care Personnel,95.1,,"246,464"
Seasonal Influenza,States,North Dakota,2015-16,All Health Care Personnel,90.1,,"32,093"
Seasonal Influenza,States,Ohio,2015-16,All Health Care Personnel,83.1,,"385,888"
Seasonal Influenza,States,Oklahoma,2015-16,All Health Care Personnel,88.7,,"94,746"
Seasonal Influenza,States,Oregon,2015-16,All Health Care Personnel,78.4,,"92,826"
Seasonal Influenza,States,Pennsylvania,2015-16,All Health Care Personnel,90.3,,"389,508"
Seasonal Influenza,National,United States,2015-16,All Health Care Personnel,86.4,,"8,308,551"
Seasonal Influenza,States,Rhode Island,2015-16,All Health Care Personnel,92.5,,"35,426"
Seasonal Influenza,States,South Carolina,2015-16,All Health Care Personnel,88.8,,"120,914"
Seasonal Influenza,States,South Dakota,2015-16,All Health Care Personnel,94.8,,"32,898"
Seasonal Influenza,States,Tennessee,2015-16,All Health Care Personnel,87.8,,"189,286"
Seasonal Influenza,States,Texas,2015-16,All Health Care Personnel,86.8,,"537,120"
Seasonal Influenza,States,Utah,2015-16,All Health Care Personnel,96.2,,"67,085"
