Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),Population Size
Seasonal Influenza,States,Alabama,2005-06,All Residents,>=18 Years,70,36920
Seasonal Influenza,States,Alaska,2005-06,All Residents,>=18 Years,82.6,1001
Seasonal Influenza,States,Arizona,2005-06,All Residents,>=18 Years,61.6,32264
Seasonal Influenza,States,Arkansas,2005-06,All Residents,>=18 Years,85.5,26091
Seasonal Influenza,States,California,2005-06,All Residents,>=18 Years,61.5,203042
Seasonal Influenza,States,Colorado,2005-06,All Residents,>=18 Years,76.8,29945
Seasonal Influenza,States,Connecticut,2005-06,All Residents,>=18 Years,72.3,47294
Seasonal Influenza,States,Delaware,2005-06,All Residents,>=18 Years,79.5,6654
Seasonal Influenza,States,District of Columbia,2005-06,All Residents,>=18 Years,69.2,4514
Seasonal Influenza,States,Florida,2005-06,All Residents,>=18 Years,51.7,149977
Seasonal Influenza,States,Georgia,2005-06,All Residents,>=18 Years,74.2,52381
Seasonal Influenza,States,Hawaii,2005-06,All Residents,>=18 Years,85.1,6281
Seasonal Influenza,States,Idaho,2005-06,All Residents,>=18 Years,73.3,9126
Seasonal Influenza,States,Illinois,2005-06,All Residents,>=18 Years,64.9,127650
Seasonal Influenza,States,Indiana,2005-06,All Residents,>=18 Years,71.9,65462
Seasonal Influenza,States,Iowa,2005-06,All Residents,>=18 Years,85.9,39754
Seasonal Influenza,States,Kansas,2005-06,All Residents,>=18 Years,81.1,29039
Seasonal Influenza,States,Kentucky,2005-06,All Residents,>=18 Years,74.4,38165
Seasonal Influenza,States,Louisiana,2005-06,All Residents,>=18 Years,73.8,36167
Seasonal Influenza,States,Maine,2005-06,All Residents,>=18 Years,74.9,12902
Seasonal Influenza,States,Maryland,2005-06,All Residents,>=18 Years,66.8,47994
Seasonal Influenza,States,Massachusetts,2005-06,All Residents,>=18 Years,72.5,80727
Seasonal Influenza,States,Michigan,2005-06,All Residents,>=18 Years,69.6,71451
Seasonal Influenza,States,Minnesota,2005-06,All Residents,>=18 Years,80.7,54665
Seasonal Influenza,States,Mississippi,2005-06,All Residents,>=18 Years,76.2,22210
Seasonal Influenza,States,Missouri,2005-06,All Residents,>=18 Years,74.9,60356
Seasonal Influenza,States,Montana,2005-06,All Residents,>=18 Years,82.6,8947
Seasonal Influenza,States,Nebraska,2005-06,All Residents,>=18 Years,83.4,20683
Seasonal Influenza,States,Nevada,2005-06,All Residents,>=18 Years,44,10373
Seasonal Influenza,States,New Hampshire,2005-06,All Residents,>=18 Years,78.8,11566
Seasonal Influenza,States,New Jersey,2005-06,All Residents,>=18 Years,72.3,85874
Seasonal Influenza,States,New Mexico,2005-06,All Residents,>=18 Years,69.6,10204
Seasonal Influenza,States,New York,2005-06,All Residents,>=18 Years,80.6,176203
Seasonal Influenza,States,North Carolina,2005-06,All Residents,>=18 Years,72.1,63882
Seasonal Influenza,States,North Dakota,2005-06,All Residents,>=18 Years,84.7,8599
Seasonal Influenza,States,Ohio,2005-06,All Residents,>=18 Years,66.4,140978
Seasonal Influenza,States,Oklahoma,2005-06,All Residents,>=18 Years,80.4,30873
Seasonal Influenza,States,Oregon,2005-06,All Residents,>=18 Years,68.4,19014
Seasonal Influenza,States,Pennsylvania,2005-06,All Residents,>=18 Years,74.2,139409
Seasonal Influenza,HHS Regions/National,United States,2005-06,All Residents,>=18 Years,71.4,2446647
Seasonal Influenza,HHS Regions/National,Region 1,2005-06,All Residents,>=18 Years,73.6,171333
Seasonal Influenza,HHS Regions/National,Region 2,2005-06,All Residents,>=18 Years,77.9,262077
Seasonal Influenza,HHS Regions/National,Region 3,2005-06,All Residents,>=18 Years,72.1,264783
