Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Survey Type
MMR,,States,Alabama,2009-10,94,75358,100,Census
MMR,,States,Alaska,2009-10,NA,9641,76.4,Voluntary response
MMR,,States,Arizona,2009-10,95,89287,93.9,Census
MMR,,States,Arkansas,2009-10,98.3,34733,100,Census
MMR,,States,California,2009-10,93.6,507191,100,Census
MMR,,States,Colorado,2009-10,NA,,,Not conducted
MMR,,States,Connecticut,2009-10,98.5,46158,100,Census
MMR,,States,Delaware,2009-10,89.7,11327,9.2,Random sample
MMR,,States,District of Columbia,2009-10,NA,6092,100,Census
MMR,,States,Florida,2009-10,91.3,218630,100,Census
MMR,,States,Georgia,2009-10,99.6,141949,1.2,Random sample
MMR,,States,Hawaii,2009-10,NA,18427,6.4,Random sample
MMR,,States,Idaho,2009-10,87,22624,100,Census
MMR,,States,Illinois,2009-10,94.5,165845,100,Census
MMR,,States,Indiana,2009-10,92.8,84390,94.7,Census
MMR,,States,Iowa,2009-10,84.5,42698,100,Census
MMR,,States,Kansas,2009-10,90.9,39073,39.1,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2009-10,92.2,56526,92.9,Census
MMR,,States,Louisiana,2009-10,96.9,53846,100,Census
MMR,,States,Maine,2009-10,95.5,14162,75.3,Voluntary response
MMR,,States,Maryland,2009-10,98.9,75061,75,Voluntary response
MMR,,States,Massachusetts,2009-10,93,74476,100,Census
MMR,,States,Michigan,2009-10,95.3,129810,100,Census
MMR,,States,Minnesota,2009-10,95.1,70653,100,Census
MMR,,States,Mississippi,2009-10,99.7,46922,100,Census
MMR,,States,Missouri,2009-10,97.3,75958,3,Random sample
MMR,,States,Montana,2009-10,95.5,12335,98.8,Census
MMR,,States,Nebraska,2009-10,97.5,29607,96.4,Census
MMR,,States,Nevada,2009-10,94.5,35209,5.6,Random sample
MMR,,States,New Hampshire,2009-10,NA,,,Not conducted
MMR,,States,New Jersey,2009-10,NA,118347,95.1,Census
MMR,,States,New Mexico,2009-10,97.6,26318,2.2,Random sample
MMR,,States,New York,2009-10,97.6,229273,100,Census
MMR,,States,North Carolina,2009-10,NA,116087,96,Census
MMR,,States,North Dakota,2009-10,92.2,8323,6,Random sample
MMR,,States,Ohio,2009-10,88.6,131137,100,Census
MMR,,States,Oklahoma,2009-10,97.3,51128,88.9,Voluntary response
MMR,,States,Oregon,2009-10,94.4,44676,100,Census
MMR,,States,Pennsylvania,2009-10,86.9,149656,100,Census
MMR,,National,United States,2009-10,94.4,,,NaN
MMR,,States,Rhode Island,2009-10,92.1,11818,11.6,Random sample
MMR,,States,South Carolina,2009-10,87.2,53725,10.2,Random sample
MMR,,States,South Dakota,2009-10,96.8,11499,100,Census
MMR,,States,Tennessee,2009-10,97.4,90811,88.1,Voluntary response
MMR,,States,Texas,2009-10,98.1,381425,98.3,Census
MMR,,National,U.S. Median,2009-10,94.5,,,NaN
MMR,,States,Utah,2009-10,97.7,49957,100,Census
MMR,,States,Vermont,2009-10,91.8,6713,100,Census
MMR,,States,Virginia,2009-10,92.1,100891,4.4,Random sample
MMR,,States,Washington,2009-10,91.7,81511,93.3,Census
MMR,,States,West Virginia,2009-10,91.2,22730,86.7,Voluntary response
MMR,,States,Wisconsin,2009-10,94.2,61095,2.3,Random sample
MMR,,States,Wyoming,2009-10,NA,,,Not conducted
MMR,,States,Alabama,2010-11,NA,,,NA
MMR,,States,Alaska,2010-11,NA,,,NA
MMR,,States,Arizona,2010-11,NA,,,NA
MMR,,States,Arkansas,2010-11,NA,,,NA
MMR,,States,California,2010-11,NA,,,NA
MMR,,States,Colorado,2010-11,NA,,,NA
MMR,,States,Connecticut,2010-11,NA,,,NA
MMR,,States,Delaware,2010-11,NA,,,NA
MMR,,States,District of Columbia,2010-11,NA,,,NA
MMR,,States,Florida,2010-11,NA,,,NA
MMR,,States,Georgia,2010-11,NA,,,NA
MMR,,States,Hawaii,2010-11,NA,,,NA
MMR,,States,Idaho,2010-11,NA,,,NA
MMR,,States,Illinois,2010-11,NA,,,NA
MMR,,States,Indiana,2010-11,NA,,,NA
MMR,,States,Iowa,2010-11,NA,,,NA
MMR,,States,Kansas,2010-11,NA,,,NA
MMR,,States,Kentucky,2010-11,NA,,,NA
MMR,,States,Louisiana,2010-11,NA,,,NA
MMR,,States,Maine,2010-11,NA,,,NA
MMR,,States,Maryland,2010-11,NA,,,NA
MMR,,States,Massachusetts,2010-11,NA,,,NA
MMR,,States,Michigan,2010-11,NA,,,NA
MMR,,States,Minnesota,2010-11,NA,,,NA
MMR,,States,Mississippi,2010-11,NA,,,NA
MMR,,States,Missouri,2010-11,NA,,,NA
MMR,,States,Montana,2010-11,NA,,,NA
MMR,,States,Nebraska,2010-11,NA,,,NA
MMR,,States,Nevada,2010-11,NA,,,NA
MMR,,States,New Hampshire,2010-11,NA,,,NA
MMR,,States,New Jersey,2010-11,NA,,,NA
MMR,,States,New Mexico,2010-11,NA,,,NA
MMR,,States,New York,2010-11,NA,,,NA
MMR,,States,North Carolina,2010-11,NA,,,NA
MMR,,States,North Dakota,2010-11,NA,,,NA
MMR,,States,Ohio,2010-11,NA,,,NA
MMR,,States,Oklahoma,2010-11,NA,,,NA
MMR,,States,Oregon,2010-11,NA,,,NA
MMR,,States,Pennsylvania,2010-11,NA,,,NA
MMR,,National,United States,2010-11,NA,,,NaN
MMR,,States,Rhode Island,2010-11,NA,,,NA
MMR,,States,South Carolina,2010-11,NA,,,NA
MMR,,States,South Dakota,2010-11,NA,,,NA
MMR,,States,Tennessee,2010-11,NA,,,NA
MMR,,States,Texas,2010-11,NA,,,NA
MMR,,National,U.S. Median,2010-11,NA,,,NaN
MMR,,States,Utah,2010-11,NA,,,NA
MMR,,States,Vermont,2010-11,NA,,,NA
MMR,,States,Virginia,2010-11,NA,,,NA
MMR,,States,Washington,2010-11,NA,,,NA
MMR,,States,West Virginia,2010-11,NA,,,NA
MMR,,States,Wisconsin,2010-11,NA,,,NA
MMR,,States,Wyoming,2010-11,NA,,,NA
MMR,,States,Alabama,2011-12,93.6,73190,100,Census
MMR,,States,Alaska,2011-12,NA,10286,7.3,Non-random Cluster Sample
MMR,,States,Arizona,2011-12,94.7,88293,96.9,Census
MMR,,States,Arkansas,2011-12,94.9,38754,92.2,Census
MMR,,States,California,2011-12,93.2,542544,97.6,Census
MMR,,States,Colorado,2011-12,86.8,70142,0.5,Simple Random Sample
MMR,,States,Connecticut,2011-12,97.4,45695,100,Census
MMR,,States,Delaware,2011-12,96.9,11327,7.4,2-stage Cluster Sample
MMR,,States,District of Columbia,2011-12,NA,6854,100,Census
MMR,,States,Florida,2011-12,92.6,225532,100,Census
MMR,,States,Georgia,2011-12,96.6,143065,1.9,2-stage Cluster Sample
MMR,,States,Hawaii,2011-12,NA,19443,7.7,2-stage Cluster Sample
MMR,,States,Idaho,2011-12,89.2,22762,100,Census
MMR,,States,Illinois,2011-12,97.3,163311,100,Census
MMR,,States,Indiana,2011-12,93.3,83416,67.5,Voluntary Response
MMR,,States,Iowa,2011-12,91.1,40978,100,Census
MMR,,States,Kansas,2011-12,88.2,38402,52.7,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2011-12,92,58185,91.8,Census
